# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.100000 0.685954 0.012026 0.008335 0.000679 -0.000333 0.001428 0.999999
0.200000 1.391984 0.000408 0.010930 0.000471 -0.000619 0.003400 0.999995
0.300000 2.138146 -0.006090 0.013701 0.000430 -0.000852 0.005488 0.999986
0.400000 2.856467 -0.011817 0.015132 0.000026 -0.000952 0.007965 0.999970
0.500000 3.520660 -0.005232 0.021283 0.000205 -0.000864 0.010333 0.999950
0.600000 4.276571 0.004208 0.028234 -0.000029 -0.000974 0.012746 0.999923
0.700000 5.058004 0.028475 0.033367 -0.000723 -0.001060 0.015109 0.999890
0.800000 5.829972 0.058621 0.033941 -0.001040 -0.000705 0.017485 0.999852
0.900000 6.667002 0.097580 0.039945 -0.001057 0.000043 0.019523 0.999816
