# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.100000 0.099939 0.003393 0.000769 0.000153 0.000019 0.000106 1.000000
0.200000 0.197267 -0.018966 0.003807 0.000288 0.000181 0.002223 0.999997
0.300000 0.296509 -0.030830 0.005536 0.000358 0.000286 0.003553 0.999994
0.400000 0.286428 -0.043416 0.007134 0.000518 0.000330 0.004635 0.999989
0.500000 0.274147 -0.052469 0.007373 0.000450 0.000321 0.005638 0.999984
0.600000 0.226199 -0.066130 0.007898 0.000616 0.000346 0.006940 0.999976
0.700000 0.325697 -0.056763 0.006850 -0.000047 0.000315 0.005391 0.999985
0.800000 0.425176 -0.047743 0.004781 -0.000257 0.000533 0.003276 0.999994
0.900000 0.525081 -0.043419 0.005218 -0.000196 0.000686 0.003161 0.999995
1.000000 0.562839 -0.049707 0.006120 -0.000276 0.000721 0.004886 0.999988
1.100000 0.662475 -0.056970 0.007275 -0.000685 0.000891 0.006993 0.999975
1.200000 0.699563 -0.072947 0.001717 -0.000541 0.000887 0.008747 0.999961
1.300000 0.799510 -0.069808 0.002488 -0.000516 0.000964 0.008787 0.999961
1.400000 0.899478 -0.067673 0.003872 -0.000498 0.001007 0.008770 0.999961
1.500000 0.999459 -0.066527 0.005320 -0.000281 0.001133 0.008876 0.999960
1.600000 0.900107 -0.076575 0.002849 -0.002042 0.000004 0.009940 0.999949
1.700000 0.800180 -0.080314 0.002399 -0.002234 -0.000266 0.010013 0.999947
1.800000 0.700310 -0.083177 0.001929 -0.004083 -0.000799 0.010833 0.999933
1.900000 0.726874 -0.081920 0.004807 -0.004702 -0.000652 0.011383 0.999924
2.000000 0.826789 -0.077804 0.004756 -0.004752 -0.000687 0.011268 0.999925
2.100000 0.926763 -0.075653 0.005578 -0.004764 -0.000650 0.011294 0.999925
2.200000 0.916749 -0.079597 0.012054 -0.004638 -0.000497 0.011892 0.999918
2.300000 1.016720 -0.077325 0.012559 -0.004647 -0.000499 0.012216 0.999914
2.400000 1.116667 -0.074503 0.011046 -0.004810 -0.000354 0.012104 0.999915
2.500000 1.216596 -0.071212 0.012819 -0.004794 -0.000081 0.012147 0.999915
