# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.100000 0.099939 0.003393 0.000769 0.000153 0.000019 0.000106 1.000000
0.200000 0.197267 -0.018966 0.003807 0.000288 0.000181 0.002223 0.999997
0.300000 0.296509 -0.030830 0.005536 0.000358 0.000286 0.003553 0.999994
0.400000 0.286428 -0.043416 0.007134 0.000518 0.000330 0.004635 0.999989
0.500000 0.274147 -0.052469 0.007373 0.000450 0.000321 0.005638 0.999984
0.600000 0.226199 -0.066130 0.007898 0.000616 0.000346 0.006940 0.999976
0.700000 0.325697 -0.056763 0.006850 -0.000047 0.000315 0.005391 0.999985
0.800000 0.425176 -0.047743 0.004781 -0.000257 0.000533 0.003276 0.999994
0.900000 0.525081 -0.043419 0.005218 -0.000196 0.000686 0.003161 0.999995
